experiment,method,byz_ratio,seed,param_name,param_value,asr,fpr,balanced_accuracy,tn,fp,fn,tp,elapsed_s
exp6_decay,acccs_gm,0.4,1011,decay,0.95,0.03067930438714053,0.6284790806248878,99.670420807494,5534,35,19,61912,187.3
exp6_decay,acccs_gm,0.4,1415,decay,0.95,0.037138105310749056,1.0235230741605315,99.46966941026436,5512,57,23,61908,186.6
exp6_decay,acccs_gm,0.4,1617,decay,0.95,0.022605803232629864,0.682348716107021,99.64752274033017,5531,38,14,61917,185.5
exp6_decay,acccs_gm,0.4,1819,decay,0.95,0.02099110300172773,2.0290896031603523,98.97495964691896,5456,113,13,61918,186.2
exp6_decay,acccs_gm,0.4,2021,decay,0.95,0.019376402770825595,2.4420901418567067,98.76926672768623,5433,136,12,61919,186.6
exp6_decay,acccs_gm,0.4,42,decay,0.99,0.022605803232629864,0.9516968935176873,99.51284865162484,5516,53,14,61917,186.6
exp6_decay,acccs_gm,0.4,123,decay,0.99,0.014532302078119197,1.2390016160890645,99.3732330409164,5500,69,9,61922,186.8
exp6_decay,acccs_gm,0.4,456,decay,0.99,0.01614700230902133,1.5263063386604416,99.22877332951526,5484,85,10,61921,185.8
exp6_decay,acccs_gm,0.4,789,decay,0.99,0.037138105310749056,0.2873047225713773,99.83777858605893,5553,16,23,61908,185.3
exp6_decay,acccs_gm,0.4,1011,decay,0.99,0.02744990392533626,0.5746094451427546,99.69897032546595,5537,32,17,61914,186.3
exp6_decay,acccs_gm,0.4,1415,decay,0.99,0.024220503463531995,0.9696534386783983,99.50306302892903,5515,54,15,61916,187.0
exp6_decay,acccs_gm,0.4,1617,decay,0.99,0.029064604156238395,0.6643921709463099,99.65327161244872,5532,37,18,61913,187.7
exp6_decay,acccs_gm,0.4,1819,decay,0.99,0.02099110300172773,1.9393068773567965,99.01985100982074,5461,108,13,61918,185.2
exp6_decay,acccs_gm,0.4,2021,decay,0.99,0.014532302078119197,2.316394325731729,98.83453668609508,5440,129,9,61922,183.4
exp6_decay,acccs_gm,0.4,42,decay,1.0,0.022605803232629864,0.8978272580355541,99.53978346936591,5519,50,14,61917,183.9
exp6_decay,acccs_gm,0.4,123,decay,1.0,0.017761702539923464,1.2569581612497756,99.36264006810515,5499,70,11,61920,184.6
exp6_decay,acccs_gm,0.4,456,decay,1.0,0.019376402770825595,1.3287843418926197,99.32591962766827,5495,74,12,61919,185.9
exp6_decay,acccs_gm,0.4,789,decay,1.0,0.05812920831247679,0.30526126773208834,99.81830476197771,5552,17,36,61895,185.6
exp6_decay,acccs_gm,0.4,1011,decay,1.0,0.029064604156238395,0.6464356257855989,99.66224988502908,5533,36,18,61913,187.5
exp6_decay,acccs_gm,0.4,1415,decay,1.0,0.022605803232629864,0.9157838031962651,99.53080519678555,5518,51,14,61917,186.4
exp6_decay,acccs_gm,0.4,1617,decay,1.0,0.024220503463531995,0.6464356257855989,99.66467193537542,5533,36,15,61916,185.9
exp6_decay,acccs_gm,0.4,1819,decay,1.0,0.02099110300172773,2.0111330579996407,98.98393791949931,5457,112,13,61918,186.1
exp6_decay,acccs_gm,0.4,2021,decay,1.0,0.014532302078119197,2.4241335966959956,98.78066705061295,5434,135,9,61922,186.7
